Index,ID,Name,URL,Star_count,OpenIssues_count,Fork_count,created_time,Pushed_time,Update_time,Duration(>180)
67,167174,jquery,https://github.com/jquery/jquery,54305,70,19684,2009-04-03T15:20:14Z,2020-12-08T13:27:35Z,2020-12-16T21:13:29Z,YES
68,4164482,django,https://github.com/django/django,54224,178,23350,2012-04-28T02:47:18Z,2020-12-16T21:00:38Z,2020-12-17T00:54:01Z,YES
70,596892,flask,https://github.com/pallets/flask,53186,22,14019,2010-04-06T11:11:59Z,2020-12-09T06:12:49Z,2020-12-17T01:57:18Z,YES
72,507775,elasticsearch,https://github.com/elastic/elasticsearch,52690,3038,18516,2010-02-08T13:20:56Z,2020-12-17T01:47:50Z,2020-12-17T01:47:40Z,YES
73,6296790,spring-boot,https://github.com/spring-projects/spring-boot,52337,493,32283,2012-10-19T15:02:57Z,2020-12-17T00:55:06Z,2020-12-17T01:35:29Z,YES
74,557980,socket.io,https://github.com/socketio/socket.io,51981,547,9382,2010-03-11T18:24:48Z,2020-12-11T11:19:22Z,2020-12-17T00:57:20Z,YES
76,8843683,Chart.js,https://github.com/chartjs/Chart.js,51384,292,10740,2013-03-17T23:56:36Z,2020-12-16T22:57:15Z,2020-12-17T02:00:20Z,YES
77,237159,express,https://github.com/expressjs/express,51199,155,8553,2009-06-26T18:56:01Z,2020-12-07T18:17:19Z,2020-12-17T01:58:47Z,YES
79,36633370,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,51140,86,4056,2015-06-01T02:33:17Z,2020-12-16T20:11:35Z,2020-12-16T23:03:32Z,YES
80,14747598,json-server,https://github.com/typicode/json-server,51095,571,4809,2013-11-27T13:21:13Z,2020-12-12T01:17:18Z,2020-12-17T02:00:25Z,YES
81,5108051,opencv,https://github.com/opencv/opencv,50900,1852,41632,2012-07-19T09:40:17Z,2020-12-16T22:24:37Z,2020-12-17T01:45:20Z,YES
84,33015583,keras,https://github.com/keras-team/keras,50322,3128,18681,2015-03-28T00:35:42Z,2020-12-16T17:35:37Z,2020-12-17T00:58:43Z,YES
85,724712,rust,https://github.com/rust-lang/rust,50306,6611,7396,2010-06-16T20:39:03Z,2020-12-17T01:36:00Z,2020-12-17T00:52:38Z,YES
86,10744183,netdata,https://github.com/netdata/netdata,49802,708,4634,2013-06-17T18:39:10Z,2020-12-17T00:14:45Z,2020-12-17T01:51:45Z,YES
87,18408635,Apollo-11,https://github.com/chrislgarry/Apollo-11,49749,105,6601,2014-04-03T15:45:02Z,2020-12-13T09:39:36Z,2020-12-16T13:34:17Z,YES
90,3544424,httpie,https://github.com/httpie/httpie,49177,145,3192,2012-02-25T12:39:13Z,2020-12-02T17:46:10Z,2020-12-17T01:12:02Z,YES
91,11180687,hugo,https://github.com/gohugoio/hugo,48831,602,5523,2013-07-04T15:26:26Z,2020-12-17T00:49:38Z,2020-12-16T23:57:44Z,YES
93,486550,html5-boilerplate,https://github.com/h5bp/html5-boilerplate,48617,6,11257,2010-01-24T18:03:24Z,2020-12-14T22:36:02Z,2020-12-17T01:45:29Z,YES
94,67274736,element,https://github.com/ElemeFE/element,48531,1811,11985,2016-09-03T06:19:26Z,2020-12-15T09:04:31Z,2020-12-17T01:27:31Z,YES
95,36040894,gatsby,https://github.com/gatsbyjs/gatsby,48229,570,9119,2015-05-21T22:43:05Z,2020-12-17T00:10:42Z,2020-12-17T01:25:16Z,YES
